Accession,Entry,Description,CON 1,CON 2,CON 3,CON 4,CON 5,CON 6,HCM 1,HCM 2,HCM 3,HCM 4,HCM 5,HCM 6,HCM 7,HCM 8,HCM 9,HCM 10,HCM 11,CONTROL,CV,% proteome,HCM,CV,% proteome,HCM to CONTROL ratio (%),Tissue,Ome,Species
DHSB_HUMAN,P21912,Succinate dehydrogenase ubiquinone iron sulfur subunit mitochondrial OS Homo sapiens GN SDHB PE 1,0,6.2837,11.5187,0,20.2082,0,5.8962,11.997,0,0,0,71.9771,15.7524,0,0,0,9.6521,6.3351,118.7795054,#DIV/0!,10.47952727,192.8476335,#DIV/0!,165.4200766,HEART,PROT,HUMAN
DIRA2_HUMAN,Q96HU8,GTP binding protein Di Ras2 OS Homo sapiens GN DIRAS2 PE 1 SV 1,0,0,0,0,0,0,0,0,0,0,5.7354,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.5214,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DJC25_HUMAN,Q9H1X3,DnaJ homolog subfamily C member 25 OS Homo sapiens GN DNAJC25 PE 2 SV 1,0,0,0,0,0,0,0,0,0,0,0,0,42.6897,0,0,0,0,0,#DIV/0!,#DIV/0!,3.880881818,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DLDH_HUMAN,P09622,Dihydrolipoyl dehydrogenase mitochondrial OS Homo sapiens GN DLD PE 1 SV 2,270.4563,220.4013,162.7214,358.0691,233.323,235.1646,202.1194,178.3946,164.3459,204.6315,236.7951,225.2663,163.3285,207.1566,144.2161,258.0132,256.678,246.6892833,23.9953082,#DIV/0!,203.7222909,17.93783319,#DIV/0!,82.58254601,HEART,PROT,HUMAN
DLL3_HUMAN,Q9NYJ7,Delta like protein 3 OS Homo sapiens GN DLL3 PE 1 SV 1,0,0,0,0,0,0,1.5947,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.144972727,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DLRB1_HUMAN,Q9NP97,Dynein light chain roadblock type 1 OS Homo sapiens GN DYNLRB1 PE 1 SV 3,0,0,0,0,0,0,14.9892,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1.362654545,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DMAP1_HUMAN,Q9NPF5,DNA methyltransferase 1 associated protein 1 OS Homo sapiens GN DMAP1 PE 1 SV 1,0,0,0,0,0,0,0,0,0,0,0,0,3.8964,0,0,0,0,0,#DIV/0!,#DIV/0!,0.354218182,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DMRTB_HUMAN,Q96MA1,Doublesex and mab 3 related transcription factor B1 OS Homo sapiens GN DMRTB1 PE 2 SV 1,0,0,0,0,0,0,0,0,0,80.9159,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,7.355990909,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DMWD_HUMAN,Q09019,Dystrophia myotonica WD repeat containing protein OS Homo sapiens GN DMWD PE 1 SV 3,0,0,0,0,0,4.549,0,0,0,0,0,0,0,0,0,0,0,0.758166667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
DNJB7_HUMAN,Q7Z6W7,DnaJ homolog subfamily B member 7 OS Homo sapiens GN DNAJB7 PE 2 SV 2,0,0,0,0,0,11.1557,0,0,0,0,0,0,0,0,0,3.5049,0,1.859283333,223.6067977,#DIV/0!,0.318627273,316.227766,#DIV/0!,17.13710154,HEART,PROT,HUMAN
DNJB8_HUMAN,Q8NHS0,DnaJ homolog subfamily B member 8 OS Homo sapiens GN DNAJB8 PE 1 SV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.9119,0,0,#DIV/0!,#DIV/0!,6.719263636,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DNJC8_HUMAN,O75937,DnaJ homolog subfamily C member 8 OS Homo sapiens GN DNAJC8 PE 1 SV 2,0,0,0,0,0,0,0,0,6.5172,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.592472727,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DNM1L_HUMAN,O00429,Dynamin 1 like protein OS Homo sapiens GN DNM1L PE 1 SV 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7809,0,0,0,0,#DIV/0!,#DIV/0!,0.070990909,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DOC2A_HUMAN,Q14183,Double C2 like domain containing protein alpha OS Homo sapiens GN DOC2A PE 1 SV 5,0,0,2.9203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486716667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
DOK3_HUMAN,Q7L591,Docking protein 3 OS Homo sapiens GN DOK3 PE 1 SV 2,0,60.8194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13656667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
DOPD_HUMAN,P30046,D dopachrome decarboxylase OS Homo sapiens GN DDT PE 1 SV 3,0,0,0,0,0,0,3.1049,4.8214,0,52.7924,4.2058,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,5.902227273,253.0821909,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DPB1_HUMAN,P04440,HLA class II histocompatibility antigen DP beta 1 chain OS Homo sapiens GN HLA DPB1 PE 1 SV 1,0,0,0,0,0,0,3.0811,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.2801,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DPEP2_HUMAN,Q9H4A9,Dipeptidase 2 OS Homo sapiens GN DPEP2 PE 1 SV 2,0,0,0,0,0,15.3754,0,0,0,0,0,0,0,0,0,0,0,2.562566667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
DPYL2_HUMAN,Q16555,Dihydropyrimidinase related protein 2 OS Homo sapiens GN DPYSL2 PE 1 SV 1,19.8251,42.4479,8.9279,60.6098,9.7574,10.2081,6.4061,9.6093,0,50.0221,6.4095,0,4.4241,58.2867,8.6138,0,54.2851,25.29603333,77.53678076,#DIV/0!,18.00515455,124.738027,#DIV/0!,71.17777838,HEART,PROT,HUMAN
DPYL3_HUMAN,Q14195,Dihydropyrimidinase related protein 3 OS Homo sapiens GN DPYSL3 PE 1 SV 1,0,0,0,0,0,0,0,0,0,16.736,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1.521454545,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DTHD1_HUMAN,Q6ZMT9,Death domain containing protein 1 OS Homo sapiens GN DTHD1 PE 2 SV 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9732,0,0,0,0,#DIV/0!,#DIV/0!,0.179381818,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DUS16_HUMAN,Q9BY84,Dual specificity protein phosphatase 16 OS Homo sapiens GN DUSP16 PE 1 SV 1,0,0,0,0,3.5081,0,0,0,0,0,0,0,0,0,0,0,0,0.584683333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
DUS23_HUMAN,Q9BVJ7,Dual specificity protein phosphatase 23 OS Homo sapiens GN DUSP23 PE 1 SV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2445,0,0,0,#DIV/0!,#DIV/0!,1.204045455,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DUS3_HUMAN,P51452,Dual specificity protein phosphatase 3 OS Homo sapiens GN DUSP3 PE 1 SV 1,13.2885,0,0,6.4847,16.0544,0,0,0,0,7.4075,5.739,24.2525,0,4.2109,2.6292,0,0,5.971266667,110.7581129,#DIV/0!,4.021736364,171.4050052,#DIV/0!,67.35147814,HEART,PROT,HUMAN
DUS4_HUMAN,Q13115,Dual specificity protein phosphatase 4 OS Homo sapiens GN DUSP4 PE 1 SV 1,0,0,0,0,0,0,0,0,6.4684,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.588036364,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DX39B_HUMAN,Q13838,Spliceosome RNA helicase DDX39B OS Homo sapiens GN DDX39B PE 1 SV 1,0,0,0,0,0,0,0,0,0,4.5677,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.415245455,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
DYN3_HUMAN,Q9UQ16,Dynamin 3 OS Homo sapiens GN DNM3 PE 1 SV 4,0,0,0,0,3.8489,0,0,0,0,0,0,0,0,0,0,0,0,0.641483333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
DYR_HUMAN,P00374,Dihydrofolate reductase OS Homo sapiens GN DHFR PE 1 SV 2,0,0,0,0,9.7015,0,0,0,0,0,0,0,0,0,0,0,0,1.616916667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
DZI1L_HUMAN,Q8IYY4,Zinc finger protein DZIP1L OS Homo sapiens GN DZIP1L PE 2 SV 2,0,0,0,0,4.4535,0,0,0,0,0,0,0,0,0,0,0,0,0.74225,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
E41LB_HUMAN,Q9H329,Band 4 1 like protein 4B OS Homo sapiens GN EPB41L4B PE 2 SV 2,0,0,0,1.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2381,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
EAF2_HUMAN,Q96CJ1,ELL associated factor 2 OS Homo sapiens GN EAF2 PE 1 SV 1,0,0,0,0,0,0,0,0,1.8614,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.169218182,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
ECH1_HUMAN,Q13011,Delta 3 5 Delta 2 4 dienoyl CoA isomerase mitochondrial OS Homo sapiens GN ECH1 PE 1 SV 2,350.7456,250.1046,65.6685,328.6832,171.2138,173.2271,0.9581,34.4709,11.0231,13.5298,74.6427,162.6512,57.677,98.3271,115.4994,121.249,122.2268,223.2738,44.08627,#DIV/0!,73.84137273,70.15355518,#DIV/0!,33.07211716,HEART,PROT,HUMAN
ECHA_HUMAN,P40939,Trifunctional enzyme subunit alpha mitochondrial OS Homo sapiens GN HADHA PE 1 SV 2,231.9575,308.4722,363.1145,383.8239,527.8037,240.4353,16.4561,32.6546,230.3312,179.3111,184.598,131.809,82.5426,98.4245,41.6419,143.6868,136.6863,342.6011833,29.25278599,#DIV/0!,116.1947364,56.2810531,#DIV/0!,33.91545097,HEART,PROT,HUMAN
ECHB_HUMAN,P55084,Trifunctional enzyme subunit beta mitochondrial OS Homo sapiens GN HADHB PE 1 SV 3,28.851,232.8945,116.4892,158.6077,189.5439,127.5627,15.8472,12.8137,57.8726,41.4903,49.2881,51.8134,48.7796,65.2797,29.6325,33.9129,16.5753,142.3248333,44.86070848,#DIV/0!,38.4823,44.69415751,#DIV/0!,27.03835943,HEART,PROT,HUMAN
ECHD3_HUMAN,Q96DC8,Enoyl CoA hydratase domain containing protein 3 mitochondrial OS Homo sapiens GN ECHDC3 PE 1 SV 2,0,0,0,0,9.6864,8.3481,0,0,0,0,0,7.2954,8.2522,0,0,9.3249,0,3.00575,142.0042386,#DIV/0!,2.261136364,164.4179154,#DIV/0!,75.22702699,HEART,PROT,HUMAN
ECHM_HUMAN,P30084,Enoyl CoA hydratase mitochondrial OS Homo sapiens GN ECHS1 PE 1 SV 4,146.4157,67.0253,175.4968,229.3041,240.5342,166.7967,9.445,93.873,90.6301,128.4766,344.2732,259.8155,97.8509,138.1617,48.1415,123.5337,115.7659,170.9288,33.51219283,#DIV/0!,131.8151909,67.91830426,#DIV/0!,77.11701651,HEART,PROT,HUMAN
ECI1_HUMAN,P42126,Enoyl CoA delta isomerase 1 mitochondrial OS Homo sapiens GN ECI1 PE 1 SV 1,15.3045,30.4812,22.9302,50.3377,27.5609,10.7313,23.2823,29.642,0,46.9424,48.3956,56.3017,0,9.9205,6.0376,33.1539,0,26.2243,48.5221038,#DIV/0!,23.06145455,87.90169623,#DIV/0!,87.93925689,HEART,PROT,HUMAN
ECI2_HUMAN,O75521,Enoyl CoA delta isomerase 2 mitochondrial OS Homo sapiens GN ECI2 PE 1 SV 4,12.3706,5.4841,12.6642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.086483333,110.1235542,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ECSIT_HUMAN,Q9BQ95,Evolutionarily conserved signaling intermediate in Toll pathway mitochondrial OS Homo sapiens GN EC,0,0,0,0,0,0,0,0,0,0,0,0,0,34.368,0,0,0,0,#DIV/0!,#DIV/0!,3.124363636,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EDRF1_HUMAN,Q3B7T1,Erythroid differentiation related factor 1 OS Homo sapiens GN EDRF1 PE 1 SV 1,0,0,0,0,0,0,0,0,7.939,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.721727273,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EF1A1_HUMAN,P68104,Elongation factor 1 alpha 1 OS Homo sapiens GN EEF1A1 PE 1 SV 1,17.4151,0,0,17.125,13.275,9.2375,0,0,0,0,13.3744,3.5545,0,6.8207,0,0,0,9.508766667,76.27365043,#DIV/0!,2.159054545,190.8426166,#DIV/0!,22.70593675,HEART,PROT,HUMAN
EF1A2_HUMAN,Q05639,Elongation factor 1 alpha 2 OS Homo sapiens GN EEF1A2 PE 1 SV 1,91.0458,88.7733,75.3421,217.5247,117.4031,91.1455,50.754,54.6648,60.6798,154.8397,132.8818,97.4907,42.1423,83.5662,24.0558,167.9442,48.8406,113.5390833,42.40400252,#DIV/0!,83.44180909,55.65662264,#DIV/0!,73.4917058,HEART,PROT,HUMAN
EF1A3_HUMAN,Q5VTE0,Putative elongation factor 1 alpha like 3 OS Homo sapiens GN EEF1A1P5 PE 5 SV 1,2.8443,0,0,24.0899,0,0,0,4.3616,0,0,0,0,0,112.2941,1.1221,0,0,4.489033333,196.6367026,#DIV/0!,10.70707273,300.2601567,#DIV/0!,238.5162224,HEART,PROT,HUMAN
EF1G_HUMAN,P26641,Elongation factor 1 gamma OS Homo sapiens GN EEF1G PE 1 SV 3,0,0,0,0,0,0,0,0,0,25.7538,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,2.341254545,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EF2_HUMAN,P13639,Elongation factor 2 OS Homo sapiens GN EEF2 PE 1 SV 4,30.3779,37.2115,32.6965,14.0724,12.8655,4.6972,11.5277,0,0,55.4831,29.4254,0,0,0,0,4.6299,0,21.98683333,54.50434521,#DIV/0!,9.187827273,184.7645809,#DIV/0!,41.78786064,HEART,PROT,HUMAN
EFC2_HUMAN,P60608,HERV F c 2 7q36 2 provirus ancestral Env polyprotein OS Homo sapiens PE 1 SV 1,0,0,0,0,0,0,0,0,0,0,29.9771,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,2.725190909,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EFNB2_HUMAN,P52799,Ephrin B2 OS Homo sapiens GN EFNB2 PE 1 SV 1,0,0,0,0,0,0,0,0,0,2.9449,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.267718182,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EFTU_HUMAN,P49411,Elongation factor Tu mitochondrial OS Homo sapiens GN TUFM PE 1 SV 2,249.6696,29.5999,153.1511,143.7022,163.4909,119.0789,10.4673,15.9051,19.6932,218.3315,189.0372,44.9135,25.0526,72.2383,7.0237,69.2873,36.3359,143.1154333,45.40313562,#DIV/0!,64.3896,107.375231,#DIV/0!,44.9913741,HEART,PROT,HUMAN
EHD1_HUMAN,Q9H4M9,EH domain containing protein 1 OS Homo sapiens GN EHD1 PE 1 SV 2,0,0,0,0,0,2.3647,0,0,0,0,0,0,0,0,0,0,0,0.394116667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
EID2_HUMAN,Q8N6I1,EP300 interacting inhibitor of differentiation 2 OS Homo sapiens GN EID2 PE 1 SV 3,0,0,0,0,0,0,4.3609,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.396445455,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EIF3A_HUMAN,Q14152,Eukaryotic translation initiation factor 3 subunit A OS Homo sapiens GN EIF3A PE 1 SV 1,0,0,0,0,0,6.8394,43.5279,2.8333,19.7989,0,0,0,0,0,0,3.204,0,1.1399,223.6067977,#DIV/0!,6.305827273,206.6331496,#DIV/0!,553.1912688,HEART,PROT,HUMAN
EIF3K_HUMAN,Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K OS Homo sapiens GN EIF3K PE 1 SV 1,0,0,7.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.168883333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ELOC_HUMAN,Q15369,Transcription elongation factor B polypeptide 1 OS Homo sapiens GN TCEB1 PE 1 SV 1,0,0,0,0,0,0,0,0,3.4474,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.3134,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
ELOV1_HUMAN,Q9BW60,Elongation of very long chain fatty acids protein 1 OS Homo sapiens GN ELOVL1 PE 1 SV 1,0,32.4747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41245,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ENOA_HUMAN,P06733,Alpha enolase OS Homo sapiens GN ENO1 PE 1 SV 2,192.2436,150.9375,139.7794,118.027,221.8374,162.1288,141.8114,133.333,83.703,206.7137,203.2106,264.6386,189.4597,232.7426,61.0519,211.7414,239.4206,164.15895,20.83221776,#DIV/0!,178.8933182,34.89689774,#DIV/0!,108.9756716,HEART,PROT,HUMAN
ENOB_HUMAN,P13929,Beta enolase OS Homo sapiens GN ENO3 PE 1 SV 4,147.908,213.2282,103.4476,400.4906,221.7745,243.7744,148.5535,342.7748,104.7271,280.6783,159.8843,215.0517,39.0444,265.5741,48.9722,171.343,160.8336,221.77055,41.9594679,#DIV/0!,176.1306364,51.22937056,#DIV/0!,79.42020993,HEART,PROT,HUMAN
ENOG_HUMAN,P09104,Gamma enolase OS Homo sapiens GN ENO2 PE 1 SV 3,77.8631,32.4429,6.6484,142.2149,308.4629,8.2091,35.2854,108.424,226.2857,102.9096,124.2057,30.3145,103.8907,6.8526,35.6906,17.8344,74.1122,95.97355,110.3812996,#DIV/0!,78.70958182,77.48968854,#DIV/0!,82.01174367,HEART,PROT,HUMAN
ENPL_HUMAN,P14625,Endoplasmin OS Homo sapiens GN HSP90B1 PE 1 SV 1,60.5572,0,39.1162,97.2224,0,2.3813,0,3.1265,0,10.221,3.4901,0,0,0,0,0,0,33.21285,110.1928054,#DIV/0!,1.530690909,197.6178805,#DIV/0!,4.608730985,HEART,PROT,HUMAN
EPCAM_HUMAN,P16422,Epithelial cell adhesion molecule OS Homo sapiens GN EPCAM PE 1 SV 2,0,0,0,0,0,0,0,0,0,0,6.2734,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.570309091,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EPM2A_HUMAN,O95278,Laforin OS Homo sapiens GN EPM2A PE 1 SV 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6385,0,0,0,#DIV/0!,#DIV/0!,0.148954545,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
ERC6L_HUMAN,Q2NKX8,DNA excision repair protein ERCC 6 like OS Homo sapiens GN ERCC6L PE 1 SV 1,0,0,0,0,18.975,0,0,0,0,0,0,0,0,0,0,0,0,3.1625,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ERF1_HUMAN,P62495,Eukaryotic peptide chain release factor subunit 1 OS Homo sapiens GN ETF1 PE 1 SV 3,0,0,0,0,47.5892,0,0,0,0,0,0,0,0,0,0,0,0,7.931533333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ERP29_HUMAN,P30040,Endoplasmic reticulum resident protein 29 OS Homo sapiens GN ERP29 PE 1 SV 4,0,3.8921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648683333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ES1_HUMAN,P30042,ES1 protein homolog mitochondrial OS Homo sapiens GN C21orf33 PE 1 SV 3,104.942,0,61.5728,166.0399,101.853,95.1436,28.3502,53.179,49.6733,122.6774,176.5379,86.5966,0,69.7922,14.4153,66.8857,67.7517,88.25855,56.76905235,#DIV/0!,66.8963,70.87835255,#DIV/0!,75.79582941,HEART,PROT,HUMAN
ESTD_HUMAN,P10768,S formylglutathione hydrolase OS Homo sapiens GN ESD PE 1 SV 2,34.1589,26.3128,19.8719,0.8537,22.6357,18.5778,23.5732,27.2737,22.2094,45.0437,33.8563,32.3694,25.1052,23.7296,11.2358,19.899,31.8163,20.4018,49.62112608,#DIV/0!,26.91923636,31.13133806,#DIV/0!,131.9453988,HEART,PROT,HUMAN
ETFA_HUMAN,P13804,Electron transfer flavoprotein subunit alpha mitochondrial OS Homo sapiens GN ETFA PE 1 SV 1,251.1171,110.4423,266.0416,214.3032,272.8209,250.4512,127.4413,190.7022,99.8964,202.2947,293.0417,221.6083,147.5845,215.8711,70.6693,177.7112,59.5868,227.5293833,24.40506784,#DIV/0!,164.2188636,41.20088098,#DIV/0!,72.17479397,HEART,PROT,HUMAN
ETFB_HUMAN,P38117,Electron transfer flavoprotein subunit beta OS Homo sapiens GN ETFB PE 1 SV 3,356.6189,106.3362,207.0673,357.1691,152.4737,214.2447,96.6599,139.6417,100.1414,164.8216,216.9103,171.4807,171.7522,179.9442,72.9176,159.4563,28.6002,232.3183167,40.92963845,#DIV/0!,136.5751,38.7145497,#DIV/0!,58.78791735,HEART,PROT,HUMAN
ETFD_HUMAN,Q16134,Electron transfer flavoprotein ubiquinone oxidoreductase mitochondrial OS Homo sapiens GN ETFDH PE,0,3.4795,6.4579,19.1851,18.3361,6.247,0,0,0,0,6.9938,0,0,0,0,0,0,8.950933333,81.12888597,#DIV/0!,0.6358,316.227766,#DIV/0!,7.103169874,HEART,PROT,HUMAN
EVPLL_HUMAN,A8MZ36,Envoplakin like protein OS Homo sapiens GN EVPLL PE 2 SV 1,0,0,0,0,0,0,0,0,4.2276,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.384327273,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EXD1_HUMAN,Q8NHP7,Exonuclease 3 5 domain containing protein 1 OS Homo sapiens GN EXD1 PE 2 SV 4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6486,0,0,0,0,#DIV/0!,#DIV/0!,0.240781818,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EXOS3_HUMAN,Q9NQT5,Exosome complex component RRP40 OS Homo sapiens GN EXOSC3 PE 1 SV 3,0,0,0,0,0,0,0,0,1.5905,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.144590909,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
EZRI_HUMAN,P15311,Ezrin OS Homo sapiens GN EZR PE 1 SV 4,0,4.5237,4.5219,33.6859,0,0,0,0,0,13.1379,0,3.3207,16.6821,4.658,0,0,0,7.121916667,169.2063305,#DIV/0!,3.436245455,165.0283913,#DIV/0!,48.24888601,HEART,PROT,HUMAN
F102B_HUMAN,Q5T8I3,Protein FAM102B OS Homo sapiens GN FAM102B PE 1 SV 2,2.8051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467516667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
F10A1_HUMAN,P50502,Hsc70 interacting protein OS Homo sapiens GN ST13 PE 1 SV 2,0,0,0,0,0,0,0,0,0,0,0,24.2344,0,58.0055,0,0,0,0,#DIV/0!,#DIV/0!,7.476354545,232.9687652,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
F136A_HUMAN,Q96C01,Protein FAM136A OS Homo sapiens GN FAM136A PE 1 SV 1,0,0,0,0,0,0,0,0,434.3089,160.8375,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,54.10421818,237.9345543,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
F157B_HUMAN,P0CG42,Putative protein FAM157B OS Homo sapiens GN FAM157B PE 3 SV 1,0,0,0,0,0,0,3.249,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.295363636,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
F16P2_HUMAN,O00757,Fructose 1 6 bisphosphatase isozyme 2 OS Homo sapiens GN FBP2 PE 1 SV 2,0,4.3673,0,0,0,0,0,0,0,0,0,5.9927,0,0,0,0,0,0.727883333,223.6067977,#DIV/0!,0.544790909,316.227766,#DIV/0!,74.84591062,HEART,PROT,HUMAN
F174B_HUMAN,Q3ZCQ3,Membrane protein FAM174B OS Homo sapiens GN FAM174B PE 2 SV 2,0,0,9.0883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.514716667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
F184A_HUMAN,Q8NB25,Protein FAM184A OS Homo sapiens GN FAM184A PE 2 SV 3,4.9862,0,0,6.3552,0,0,0,0,0,0,0,0,3.4059,0,0,0,16.3263,1.890233333,142.9584349,#DIV/0!,1.793836364,261.8798856,#DIV/0!,94.90026083,HEART,PROT,HUMAN
F185A_HUMAN,Q8N0U4,Protein FAM185A OS Homo sapiens GN FAM185A PE 2 SV 3,0,1.16,0,0,96.2688,0,0,0,0,0,0,0,0,0,0,0,0,16.23813333,220.4274825,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
F18A1_HUMAN,Q96GS6,Abhydrolase domain containing protein FAM108A1 OS Homo sapiens GN FAM108A1 PE 2 SV 1,0,0,0,0,0,0,0,0,0,5.0939,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.463081818,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
F204A_HUMAN,Q9H8W3,Protein FAM204A OS Homo sapiens GN FAM204A PE 2 SV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4618,0,0,#DIV/0!,#DIV/0!,4.132890909,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
F217A_HUMAN,Q8IXS0,Protein FAM217A OS Homo sapiens GN FAM217A PE 2 SV 2,0,0,0,0,0,0,0,0,0,0,17.2632,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1.569381818,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
F71E1_HUMAN,Q6IPT2,Protein FAM71E1 OS Homo sapiens GN FAM71E1 PE 2 SV 2,0,0,0,0,0.8119,0,0,0,0,0,0,0,0,2.0282,0,0,0,0.135316667,223.6067977,#DIV/0!,0.184381818,316.227766,#DIV/0!,136.2595035,HEART,PROT,HUMAN
