Protein IDs,Protein names,Gene names,Razor + unique peptides WT_1,Razor + unique peptides WT_2,Razor + unique peptides WT_3,Razor + unique peptides WT_4,Razor + unique peptides ob_1,Razor + unique peptides ob_2,Razor + unique peptides ob_3,Razor + unique peptides ob_4,Unique peptides WT_1,Unique peptides WT_2,Unique peptides WT_3,Unique peptides WT_4,Unique peptides ob_1,Unique peptides ob_2,Unique peptides ob_3,Unique peptides ob_4,Identification type WT_1,Identification type WT_2,Identification type WT_3,Identification type WT_4,Identification type ob_1,Identification type ob_2,Identification type ob_3,Identification type ob_4,Sequence coverage WT_1 [%],Sequence coverage WT_2 [%],Sequence coverage WT_3 [%],Sequence coverage WT_4 [%],Sequence coverage ob_1 [%],Sequence coverage ob_2 [%],Sequence coverage ob_3 [%],Sequence coverage ob_4 [%],Intensity WT_1,Intensity WT_2,Intensity WT_3,Intensity WT_4,Intensity ob_1,Intensity ob_2,Intensity ob_3,Intensity ob_4
O88271,Craniofacial development protein 1,Cfdp1,3,4,5,2,2,1,2,4,3,4,5,2,2,1,2,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,13.9,19.3,21.7,9.5,9.5,4.1,8.5,19.3,274130000,295260000,229670000,97164000,119920000,72370000,45723000,200330000
O88322;A0A286YCQ5,Nidogen-2,Nid2,9,7,10,2,8,3,8,11,9,7,10,2,8,3,8,11,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,10.4,8.6,12.5,1.8,9.2,4.9,10.8,14.2,492570000,444630000,597980000,46593000,354560000,46998000,640540000,901080000
O88325,,Naglu,8,10,9,6,4,1,7,9,8,10,9,6,4,1,7,9,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,14.5,17.7,16.6,9.7,6.9,1.1,12.4,15.6,1564900000,1769100000,1581800000,227540000,194360000,194210000,685140000,672780000
O88342;A0A0J9YU05,WD repeat-containing protein 1,Wdr1,22,28,27,17,16,14,22,26,22,28,27,17,16,14,22,26,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,50.2,64.2,58.7,31.4,33,27.4,50.2,58.9,10364000000,14441000000,12894000000,4224200000,8384200000,7007900000,10171000000,13373000000
O88374;A0A1B0GX27;O35855;A0A1B0GQY4,"Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase, mitochondrial",Bcat2,1,0,2,1,1,0,1,2,1,0,2,1,1,0,1,2,By matching,,By matching,By matching,By matching,,By matching,By MS/MS,6.2,0,11,4.8,4.8,0,4.8,11,18008000,0,42198000,14674000,23924000,0,37752000,101710000
O88396,"GrpE protein homolog 2, mitochondrial",Grpel2,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,,,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,0,0,4,4,4,0,4.9,4,0,0,42867000,48231000,69245000,0,13440000,50938000
O88428,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,Papss2,20,23,24,11,14,9,20,24,20,21,22,11,14,9,20,22,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,45.6,48.6,54.6,19.3,27.1,16.1,41.9,53.3,14295000000,18119000000,16855000000,2819600000,3726400000,1472600000,7243300000,11416000000
O88441,Metaxin-2,Mtx2,4,6,6,5,4,3,5,7,4,6,6,5,4,3,5,7,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,27,35,35,28.5,17.9,19.8,28.5,36.5,1125500000,1382700000,1383700000,472110000,897130000,346020000,1164900000,1431000000
O88451;A0A1W2P7F4,Retinol dehydrogenase 7,Rdh7,18,18,18,14,14,14,14,18,10,10,10,8,8,8,7,10,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,53.5,53.5,53.5,41.8,41.8,41.8,40.5,53.5,74174000000,70457000000,66186000000,47433000000,58109000000,31299000000,52610000000,79465000000
O88487;A2BFF8;Q3TPJ8;A2BFF9;A2BFF5;D3Z258;Q3TYJ3;D3Z0M6;O88485-2;O88485;A0A0N4SVS1,Cytoplasmic dynein 1 intermediate chain 2,Dync1i2,14,17,16,9,9,9,12,16,14,17,16,9,9,9,12,16,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,37.7,44.4,40.5,18.3,18.3,18.3,34,44,4943800000,5788400000,4741900000,2273400000,5167200000,2488600000,5092900000,5200700000
O88492;O88492-2,Perilipin-4,Plin4,4,3,6,5,32,30,30,33,4,3,6,5,32,30,30,33,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.3,10.8,18.7,19,61.4,58.7,59.1,62.9,195640000,160920000,310520000,80425000,5805900000,6401500000,3761600000,5327900000
O88502,"High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8A",Pde8a,3,1,1,1,2,3,2,2,3,1,1,1,2,3,2,2,By MS/MS,By MS/MS,By matching,By matching,By matching,By MS/MS,By MS/MS,By matching,4.9,2.7,2.7,1,2.2,5,3.9,3.9,57095000,25235000,30884000,18009000,48579000,44730000,35358000,64453000
O88520,Leucine-rich repeat protein SHOC-2,Shoc2,3,4,4,1,1,1,3,5,3,4,4,1,1,1,3,5,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,By MS/MS,By MS/MS,10,8.4,11.7,1.4,1.4,1.4,8.2,13.1,113080000,235720000,162200000,57486000,37707000,50290000,73969000,220540000
O88531;B1B0P8;B1B0P9,Palmitoyl-protein thioesterase 1,Ppt1,6,6,6,4,4,2,5,6,6,6,6,4,4,2,5,6,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,26.5,26.5,26.5,16.3,16.3,5.9,21.9,26.5,2783700000,3411800000,3322300000,1761100000,778200000,336950000,2042600000,3462000000
O88532;F6QJP7;F6V459;D3Z7V6;F6RTK9;D3Z5G4,Zinc finger RNA-binding protein,Zfr,18,21,18,18,20,17,19,20,18,21,18,18,20,17,19,20,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,22.4,26.4,23,18.6,21.1,16.3,22.7,25.8,4269900000,1587100000,1630300000,1163300000,1805100000,1042100000,1611200000,1612700000
O88533;Q5SUV9,Aromatic-L-amino-acid decarboxylase,Ddc,11,11,11,8,7,4,8,10,11,11,11,8,7,4,8,10,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,25.8,25.8,25.8,23.8,20,10.6,25.4,25.8,5666400000,6072100000,6523500000,2379800000,1727500000,662710000,4421900000,2912100000
O88543;F6YCA7;D3Z036,COP9 signalosome complex subunit 3,Cops3,12,10,12,9,7,9,12,12,12,10,12,9,7,9,12,12,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,34.8,30.7,34.8,23.4,21.7,24.8,32.9,34.8,3811400000,3888700000,4091700000,1197100000,1255400000,1345000000,2898300000,3155000000
O88544;D3YV99;F6QTS1;D3Z1R9;D6RG47,COP9 signalosome complex subunit 4,Cops4,20,19,19,10,13,10,16,15,20,19,19,10,13,10,16,15,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,62.3,62.6,61.3,26.6,34,27.6,50.2,46.3,5040200000,4556500000,4190400000,1359000000,2595500000,1102700000,3328600000,5095800000
O88551,Claudin-1,Cldn1,3,3,3,2,2,1,2,3,3,3,3,2,2,1,2,3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,19,19,19,11.4,11.4,4.3,11.4,19,553930000,197860000,662520000,99435000,81599000,32207000,237220000,394780000
O88552,Claudin-2,Cldn2,1,1,1,1,1,0,0,2,1,1,1,1,1,0,0,2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,,,By MS/MS,6.5,6.5,6.5,6.5,6.5,0,0,11.7,31337000,32042000,45848000,19595000,101350000,0,0,89212000
O88569;O88569-2;A0A0N4SUM2,Heterogeneous nuclear ribonucleoproteins A2/B1,Hnrnpa2b1,20,19,19,12,16,12,17,17,3,3,3,1,2,1,2,2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,59.2,61.5,61.5,37.1,52.4,38.5,61.2,56.9,46355000000,57831000000,51040000000,17946000000,23411000000,15049000000,39088000000,51866000000
O88587-2;O88587;D3Z227,Catechol O-methyltransferase,Comt,15,16,16,10,10,10,13,14,15,16,16,10,10,10,13,14,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,80.6,81.1,81.1,54.5,42.8,54.5,73.9,73,24987000000,43856000000,32346000000,11311000000,19355000000,11710000000,17551000000,27784000000
O88597;E9PYD6;E9QAM0;F7DB15;F7CVL9,Beclin-1,Becn1,6,5,6,4,4,3,3,5,6,5,6,4,4,3,3,5,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,21.7,16.5,20.1,11.8,12.7,7.4,7.4,14.7,191140000,134080000,217890000,322650000,207400000,78307000,40383000,204210000
O88623-4;O88623-2;O88623;O88623-3,Ubiquitin carboxyl-terminal hydrolase 2,Usp2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,,,,By matching,,,By MS/MS,,0,0,0,3.6,0,0,3.6,0,0,0,0,4483100,0,0,29995000,0
O88630,Golgi SNAP receptor complex member 1,Gosr1,5,5,6,3,3,1,4,5,5,5,6,3,3,1,4,5,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,23.6,23.6,28,15.6,15.6,6.4,18.4,23.6,406890000,377050000,425720000,172380000,163320000,31559000,352770000,492130000
O88653;A0A0G2JGQ3,Ragulator complex protein LAMTOR3,Lamtor3,3,3,3,0,0,0,1,3,3,3,3,0,0,0,1,3,By MS/MS,By MS/MS,By MS/MS,,,,By MS/MS,By MS/MS,50,50,50,0,0,0,22.6,50,514960000,1021400000,1021800000,0,0,0,181920000,971660000
O88662,Epithelial membrane protein 2,Emp2,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,,By matching,By matching,,,,By MS/MS,By matching,0,4.7,4.7,0,0,0,4.7,4.7,0,29273000,70420000,0,0,0,54631000,111310000
O88665,Bromodomain-containing protein 7,Brd7,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,By MS/MS,,0,1.5,1.5,0,1.5,1.7,2.9,0,0,17578000,31921000,0,27371000,8112400,33671000,0
O88668;J3QP41,Protein CREG1,Creg1,4,4,4,4,3,3,4,3,2,2,2,2,2,2,2,1,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,13.6,13.6,13.6,13.6,8.6,8.6,13.6,11.4,773790000,1047700000,1080800000,175820000,292270000,120990000,856440000,3356500000
O88673,Diacylglycerol kinase alpha,Dgka,0,0,2,1,1,2,2,2,0,0,2,1,1,2,2,2,,,By matching,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,0,0,3,1.8,1.2,3.2,3,3,0,0,51347000,9108500,7792100,15911000,46019000,39686000
O88696,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Clpp,5,7,4,4,4,6,6,4,5,7,4,4,4,6,6,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,23.2,29.8,17.6,17.6,17.6,25.7,25.7,17.6,3182600000,4165500000,2550900000,1711000000,1724200000,1075500000,2634400000,2427200000
O88697;A0A087WQ12;A0A087WQT0;D3YXM1;Q05DP1,Serine/threonine-protein kinase 16,Stk16,2,3,3,1,0,0,2,3,2,3,3,1,0,0,2,3,By MS/MS,By MS/MS,By matching,By MS/MS,,,By MS/MS,By MS/MS,10.8,16.1,16.1,4.6,0,0,10.8,16.1,126370000,92470000,177140000,11655000,0,0,124720000,113370000
O88712;A0A0J9YU62;O88712-2;A0A0J9YUM4;O88712-3;A0A0J9YTW3;A0A0J9YUR5;A0A0J9YU66;A0A0J9YVI3,C-terminal-binding protein 1,Ctbp1,9,9,7,8,8,5,8,9,5,6,4,4,5,2,4,5,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,20.4,20.6,16.3,16.1,18.8,10.2,17.9,20,1347200000,599650000,1147700000,941080000,1211500000,637170000,1065600000,994030000
O88736;Q8C5N9,3-keto-steroid reductase,Hsd17b7,8,7,8,4,5,5,7,9,8,7,8,4,5,5,7,9,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,28.4,22.2,28.4,13.5,17.1,17.1,23.7,31.4,1795900000,1694300000,2165300000,1020700000,2261500000,1659000000,2133300000,3145800000
O88783;CON__Q28107,Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain,F5,11,11,10,10,9,8,8,11,11,11,10,10,9,8,8,11,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,6.3,6.2,5.8,5.6,5.4,4.5,4.8,6.4,526060000,592600000,480670000,265980000,384850000,355310000,246560000,341480000
O88792,Junctional adhesion molecule A,F11r,3,3,3,6,5,3,3,4,3,3,3,6,5,3,3,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16,16,16,29.3,22,15,15,21.7,949790000,1222600000,933130000,533360000,925750000,155290000,1032900000,931960000
O88796,Ribonuclease P protein subunit p30,Rpp30,3,2,2,2,2,0,3,3,3,2,2,2,2,0,3,3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,12.7,9,9,9,6.7,0,12.7,12.7,155550000,72638000,76598000,48012000,89896000,0,78814000,99004000
O88811-2;O88811,Signal transducing adapter molecule 2,Stam2,6,5,6,7,7,6,8,5,6,5,6,7,7,6,8,5,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,19,19.3,19,18.6,21.4,16.6,24.6,17.1,417710000,413540000,418260000,205600000,414670000,259210000,747330000,466140000
O88822;A0A1L1SSH0,Lathosterol oxidase,Sc5d,3,4,4,4,4,4,5,5,3,4,4,4,4,4,5,5,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,10.4,12.7,12.7,11.4,11.4,11.4,15.4,15.4,1447800000,2891600000,2434600000,1727400000,3045700000,3070600000,3548400000,3066100000
O88843,Death domain-containing protein CRADD,Cradd,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,By MS/MS,By matching,By matching,,By MS/MS,By MS/MS,By MS/MS,By MS/MS,8.5,8.5,8.5,0,8.5,8.5,4.5,8.5,133400000,17611000,24977000,0,88734000,17129000,35426000,220770000
O88844;A0A087WPT4;A0A087WRS9;D3YVY3;A0A087WRM4,Isocitrate dehydrogenase [NADP] cytoplasmic,Idh1,32,31,32,24,25,24,32,31,30,29,30,22,23,23,30,29,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,81.6,80,81.6,67.4,65.5,56.5,81.6,80,1.2458E+11,1.3237E+11,1.4428E+11,55427000000,91438000000,53227000000,99630000000,1.4932E+11
O88845;O88845-2;O88845-3,"A-kinase anchor protein 10, mitochondrial",Akap10,3,4,4,5,3,2,2,4,3,4,4,5,3,2,2,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,7.1,8.9,8.9,10.7,6.9,4.2,5.7,8.9,35979000,89883000,190680000,105540000,181280000,27396000,39927000,119370000
O88848;O88848-2;D3Z067,ADP-ribosylation factor-like protein 6,Arl6,2,2,2,1,2,0,3,2,2,2,2,1,2,0,3,2,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,12.9,12.9,12.9,5.9,12.9,0,24.2,12.9,89187000,78668000,99955000,12353000,10703000,0,62687000,83428000
O88851,Putative hydrolase RBBP9,Rbbp9,4,4,4,2,1,1,3,4,4,4,4,2,1,1,3,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,38.2,38.2,38.2,13.4,6.5,6.5,24.2,38.2,2622100000,2841800000,2406900000,832470000,925860000,346730000,811630000,1427500000
O88876;G5E8W9;B1ARS9;H7BX54;O88876-2,Short-chain dehydrogenase/reductase 3,Dhrs3,4,5,5,1,3,3,5,4,4,5,5,1,3,3,5,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,18.5,21.9,21.9,4,12.9,10.6,21.9,18.5,973380000,1414100000,1385100000,7041800,356380000,38973000,1501400000,1002200000
O88878;D6RFT9;A0A140LHV2;D3YYE8,AN1-type zinc finger protein 5,Zfand5,2,2,3,1,3,3,1,2,2,2,3,1,2,2,1,2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,8,8,19.7,3.8,20.7,17.4,3.8,8,72162000,45712000,131460000,17144000,67175000,66836000,29206000,45601000
O88879;Q80VR5;G3XA09;O88879-2,Apoptotic protease-activating factor 1,Apaf1,2,1,2,1,1,1,0,1,2,1,2,1,1,1,0,1,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,,By MS/MS,1.6,1,1.8,0.9,0.9,0.7,0,1,18211000,44294000,76268000,12466000,5798900,1999700,0,54215000
O88888;A0A1W2P6Z9,Amyloid beta A4 precursor protein-binding family A member 3,Apba3,2,2,1,1,1,3,1,0,2,2,1,1,1,3,1,0,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,,5.4,5.4,3.5,3.5,3.5,7.2,1.9,0,39156000,46269000,22615000,8245200,26249000,43107000,13248000,0
O88907;Q3U556,E3 SUMO-protein ligase PIAS1,Pias1,1,1,0,2,2,2,1,1,1,1,0,2,2,2,1,1,By MS/MS,By MS/MS,,By MS/MS,By matching,By MS/MS,By matching,By MS/MS,2.9,2.9,0,4.6,4.6,4.6,2.9,2.9,5874700,7743800,0,13141000,33046000,28981000,5108000,5163100
O88908;F6SMH4,Sterol O-acyltransferase 2,Soat2,9,10,9,7,7,8,8,9,9,10,9,7,7,8,8,9,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.8,18.1,16.8,12.8,12.8,14.5,15,16.8,2505700000,3733700000,3908500000,2514400000,3058400000,2267000000,1544300000,3559500000
O88939-2;O88939;D3YVF8;D3Z4C3;D3YZI8,Zinc finger and BTB domain-containing protein 7A,Zbtb7a,3,3,2,2,1,1,1,3,3,3,2,2,1,1,1,3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,By matching,10.4,10.4,5.7,5.7,4.1,4.1,4.8,10.4,134850000,104890000,77054000,80380000,61438000,22187000,53565000,143640000
O88952,Protein lin-7 homolog C,Lin7c,4,4,4,5,5,3,1,5,4,4,4,5,5,3,1,5,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,48.7,48.7,48.7,27.4,31.5,17.8,26.9,47.7,872710000,711920000,779940000,468910000,823030000,378100000,231800000,852400000
O88958;D3Z0R5,Glucosamine-6-phosphate isomerase 1,Gnpda1,7,7,7,5,4,3,6,9,6,6,6,4,4,2,5,8,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,39.8,29.8,39.8,17,15.9,10.7,26.3,46,1151500000,749440000,924700000,235910000,407550000,169810000,1043400000,1859300000
O88967,ATP-dependent zinc metalloprotease YME1L1,Yme1l1,19,19,19,12,11,10,16,18,19,19,19,12,11,10,16,18,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,34.8,34.8,34.8,17.5,18.5,15.7,25.2,30.8,2864900000,2317300000,3002400000,1438700000,1167500000,919860000,1681600000,2051500000
O88968,Transcobalamin-2,Tcn2,2,3,3,3,3,1,1,2,2,3,3,3,3,1,1,2,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,5.3,7.4,10.9,7,7,1.9,1.9,5.3,70300000,110840000,138060000,67269000,178720000,76566000,109580000,123390000
O88983;Q9D0J1;Q8BS59,Syntaxin-8,Stx8,3,3,3,1,1,1,2,3,3,3,3,1,1,1,2,3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,18.2,18.2,18.2,4.2,4.2,4.2,9.7,18.2,449610000,566810000,300160000,71302000,174940000,72539000,65746000,484380000
O88986;E9PWY6,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",Gcat,11,12,12,8,9,6,10,11,11,12,12,8,9,6,10,11,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,41.3,41.3,41.3,28.1,33.9,24,38.9,38.9,8131600000,12194000000,10515000000,2602800000,1932000000,491540000,2300100000,4514800000
O88987,A-kinase anchor protein 3,Akap3,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,By MS/MS,By matching,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.8,2.4,2.4,1.3,2.9,2.1,2.1,2.1,92784000,80897000,104170000,50715000,274910000,50042000,150490000,124370000
O88990,Alpha-actinin-3,Actn3,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,By matching,By matching,By matching,By MS/MS,By matching,By matching,By matching,By matching,3.9,6.6,6.6,4.8,3.9,5,4.9,3.9,0,0,0,9062000,0,8441600,0,0
O89001,Carboxypeptidase D,Cpd,4,6,4,4,6,4,4,3,4,6,4,4,6,4,4,3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3.5,5.7,3.5,4.1,5.4,4.3,4,2.8,79346000,195750000,132830000,77478000,121790000,96487000,73826000,120430000
O89013,Leptin receptor gene-related protein,Leprot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By matching,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,71045000,64019000,116460000,87984000,99789000,97755000,98378000,86674000
O89017,Legumain,Lgmn,2,2,1,1,1,1,3,2,2,2,1,1,1,1,3,2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3.9,3.9,1.8,1.8,1.8,1.8,9.4,3.9,941170000,1091500000,1718700000,826100000,798940000,523150000,2151100000,964650000
O89020;O89020-3;O89020-2,Afamin,Afm,9,8,6,5,6,4,7,9,9,8,6,5,6,4,7,9,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,20.6,16,14.1,11.8,15.6,9.7,18.3,20.6,749120000,578240000,471570000,336980000,386240000,299790000,337110000,945290000
O89023,Tripeptidyl-peptidase 1,Tpp1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,5,5,5,4.4,4.4,4.4,5,1.2,1728000000,1641200000,1697700000,2107000000,2617600000,1604200000,2404700000,1680700000
O89032-3;O89032-2;O89032,SH3 and PX domain-containing protein 2A,Sh3pxd2a,2,2,2,2,4,3,2,2,2,2,2,2,4,3,2,2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,2.5,2.5,2.5,2.5,5.6,3.9,2.5,2.5,23207000,56251000,28767000,24839000,143510000,83006000,84988000,73860000
O89050;F6UW85,Muskelin,Mkln1,2,1,1,3,2,3,1,1,2,1,1,3,2,3,1,1,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3.4,1.6,1.6,4.4,2.7,4.8,1.6,1.6,61444000,23120000,36978000,146860000,109080000,80422000,30895000,39821000
O89051,"Integral membrane protein 2B;BRI2, membrane form;BRI2 intracellular domain;BRI2C, soluble form;Bri23 peptide",Itm2b,6,7,7,6,4,4,6,8,6,7,7,6,4,4,6,8,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,29.7,40.6,44.7,33.1,24.1,23.3,27.8,45.9,774830000,1276700000,1532200000,1123700000,1036900000,569280000,719650000,1514800000
O89053;G3UYK8;A0A0U1RPY8;D3YW57;G3UX53;D3YXM2,Coronin-1A;Coronin,Coro1a,10,8,7,4,4,5,7,10,10,8,7,4,4,5,7,10,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,30.8,29.3,24.9,8.9,9.8,11.3,21,30.8,1163300000,1257200000,1011200000,805050000,840680000,887100000,1058200000,2355500000
O89079;D3Z315;F6YFR7;F6XIG5;E9Q6I5,Coatomer subunit epsilon,Cope,10,11,10,6,5,7,9,11,10,11,10,6,5,7,9,11,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,48.7,52.3,47.7,30.8,22.4,29.9,45.5,52.3,7757500000,9721700000,9358300000,1088500000,1804400000,1613900000,3555000000,6340100000
O89086,RNA-binding protein 3,Rbm3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,883080000,745010000,616620000,285560000,1233100000,757080000,485300000,1168300000
O89112;B2KGR2,LanC-like protein 1,Lancl1,6,7,6,4,4,3,5,6,6,7,6,4,4,3,5,6,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,21.3,23.3,21.3,10.5,12,7,17.8,21.3,1326500000,1299800000,903670000,272150000,465490000,155150000,434320000,1051100000
P00186;P00184,Cytochrome P450 1A2,Cyp1a2,24,27,25,18,14,12,17,24,24,27,25,18,14,12,17,24,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,59.5,62.4,61,40,32,28.7,41.5,58.1,31804000000,35786000000,30238000000,12295000000,6816000000,2520000000,6709800000,10398000000
P00329;E0CXV3,Alcohol dehydrogenase 1,Adh1,27,27,27,23,20,18,28,27,25,25,25,21,18,16,26,25,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,72.5,72.5,72.5,69.3,56.3,61.9,74.4,73.1,1.8009E+11,2.1244E+11,2.0472E+11,69341000000,1.3909E+11,77803000000,1.9511E+11,2.2837E+11
